X,Y
-70.03881037,12.52
55.26931684,25.26722222
-58.3696702,-34.59916667
130.854947,-12.47027778
144.9171967,-37.83277778
115.855477,-31.96527778
151.1891637,-33.86222222
2.422320377,6.346666667
-77.32126031,25.07666667
-43.1918139,-22.88305556
-123.071437,49.29777778
-64.70371025,44.04333333
-71.61914016,-33.03527778
113.409364,23.09416667
117.4565371,39.00944444
-4.021260306,5.283333333
8.553003534,53.56361111
12.11790342,54.1525
12.58404005,55.72611111
-79.9024735,-2.284166667
32.30600707,31.25333333
2.168786808,41.35472222
-4.418256773,36.70944444
2.62532391,39.55111111
0.173733804,49.46694444
5.341283863,43.32944444
7.285630153,43.69388889
-0.067196702,51.50277778
22.56755006,36.76
28.23351001,36.44361111
18.07638398,42.66
11.77567727,42.09888889
13.36984688,38.13083333
8.489517079,44.31166667
12.24057715,45.45305556
-77.93545347,18.4675
135.4338634,34.63583333
139.6673734,35.43638889
24.08810365,57.00777778
-109.9007067,22.88388889
14.54128386,35.82611111
4.824087161,52.41305556
10.73457008,59.89722222
174.7694935,-36.83638889
66.9737338,24.835
-79.88510012,9.373333333
120.943404,14.52416667
-66.09128386,18.43611111
28.993404,41.01277778
121.3746172,25.15194444
39.293404,-6.834444444
-88.03775029,30.71138889
-118.2597173,33.73194444
-117.1572438,32.68444444
-122.4008834,37.78861111
-80.16702002,25.775
-82.43616019,27.93
-157.8737338,21.30944444
-71.03545347,42.36361111
-76.55565371,39.2325
-74.02426384,40.68833333
-94.81790342,29.30416667
-76.29252061,36.90194444
-122.3597173,47.60222222
18.4352768,-33.90916667
-79.38,43.61
-87.6,41.88
13.25088339,-8.783888889
-68.27355713,12.14833333
-63.04375736,18.01444444
138.5079505,-34.79916667
153.1684335,-27.3825
118.5732038,-20.3175
91.82585395,22.26888889
-59.62408716,13.10694444
-73.5246172,45.54361111
-70.90477032,-53.16833333
-73.22656066,-39.81666667
121.6503534,38.93361111
119.30053,26.0475
120.31702,36.09583333
121.4872203,31.22194444
116.7040636,23.35472222
-84.80424028,9.981666667
10.15689046,54.33083333
-61.38598351,15.29638889
-69.87585395,18.47527778
-0.98598351,37.58944444
-8.726207303,42.2425
-16.22656066,28.47472222
24.69075383,59.46
178.4210836,-18.1325
6.633333333,43.27055556
-4.303180212,55.86305556
-1.424440518,50.9025
-5.357243816,36.13694444
-13.70989399,9.516388889
-15.57267373,11.85833333
24.00971731,35.51805556
21.31861013,37.64638889
-90.84128386,13.91555556
114.1561837,22.32111111
-72.33969376,18.56583333
112.7239105,-7.206388889
-6.206007067,53.34444444
-7.118786808,52.26638889
35.01825677,32.8225
10.30194346,43.55583333
13.93810365,40.74527778
-76.82479388,17.98166667
130.8542403,33.9225
39.6221437,-4.053055556
104.9209069,11.58305556
35.51949352,33.905
73.50706714,4.175
-96.13368669,19.20833333
96.16878681,16.76583333
174.7898704,-41.2775
14.58580683,53.43055556
39.1590106,21.45861111
-17.42514723,14.68222222
103.7221437,1.292777778
-13.20795053,8.494166667
18.10936396,59.335
100.5691402,13.60694444
26.52196702,40.26472222
-149.8877503,61.23555556
-118.2007067,33.74888889
-122.3012367,37.79944444
-81.55918728,30.38083333
-75.13457008,39.89527778
-79.92355713,32.82222222
-71.32444052,41.4825
106.7217903,10.79388889
44.98969376,12.79555556
31.02338045,-29.88111111
25.6352768,-33.96138889
25.6352768,-33.96138889
-83.03,42.33
-90.16,35.06
-90.2,38.71
24.96,60.16
30.3,59.93
